day,bias,num_data_points,average_bias
0,0.0,210,0.0
1,-0.7799999999999998,173,-0.0045086705202312125
2,-0.7699999999999996,173,-0.004450867052023119
3,5.369999999999999,163,0.03294478527607361
4,-0.5199999999999998,148,-0.0035135135135135123
5,-0.6899999999999993,123,-0.00560975609756097
6,-0.6899999999999992,106,-0.006509433962264143
7,-0.5399999999999999,85,-0.006352941176470587
8,0.27999999999999997,73,0.003835616438356164
9,0.06999999999999998,63,0.0011111111111111107
10,0.039999999999999904,59,0.0006779661016949137
11,-0.010000000000000177,50,-0.00020000000000000353
12,0.009999999999999896,50,0.00019999999999999792
13,0.019999999999999907,40,0.0004999999999999976
14,-0.08000000000000008,30,-0.0026666666666666696
15,0.10999999999999993,30,0.0036666666666666644
16,0.11000000000000004,30,0.003666666666666668
17,6.245004513516506e-17,30,2.0816681711721684e-18
18,-0.12000000000000008,30,-0.004000000000000003
19,0.03000000000000002,30,0.0010000000000000007
20,0.1800000000000001,20,0.009000000000000005
21,0.2700000000000002,20,0.013500000000000009
22,0.16999999999999998,20,0.008499999999999999
